game,winner
i10h9j9h11k10j10g6m12k9m9k11k8m11n12k14n11p9h7n10k13h6f6i7j8h8j6g5f4f10g4p8o9e11g9d12p10p6h10i8i9k7f8e7j12i11f5f7e8f9c7f12h14i4d10i5i6f3h13h12g12i13g11g10f13i14i12,0
i10h9j9h11k10j10n13i12k9h7i9m12n9i7k13m9n10n8k7k8n12n11m11l12,1
i10h9j9h11k10j10g6m12k9m9k6h7k13m6i4j5i6j6h5k8,1
i10h9j9h11k10j10m6m12l7k8l6n6k6i6m8j5l9j11,1
i10h9j9h11k10j10m6i8k9k8h8k11i7g9f9m9l10j8j6m8l8m12m10o10l11l9n9k12l12o8n6o6o5m7n7n8o9l13n11k5n5j4l6k6j7n4h7k7k4l5e10g7i5g8g10o4i6p5n3g4h6h4f10h10f11f8,0
i10h9j9h11k10j10g6m12j6i12l11e8m6h6g3g5m3i5h7i8g10i7f4,-1
i10h9j9h11k10j10m6m12l11i8o8n7l8n8n6p6l7k8l6l9,1
i10h9j9h11k10j10g6m12m6i8m9l5k8l7k9k7,1
i10h9j9h11k10j10m6m12g6i12m9m7k8l7k9k7,1
i10h9j9h11k10j10m6i8k9k8h8k11i7m9e11j6l10j8l8l11o5j7k6m10l9m11n11,-1
i10h9j9h11k10j10m6i8n7p9m8l9m7m9l7k8,1
i10h9j9h11k10j10g6m12i12i8k9l9m6k8h8j7k6,-1
i10h9j9h11k10j10g6l11l9h13i12h7h10i13i11i9m8j11l7n9k8m6l8j8,1
i10h9j9h11k10j10g6m12l9n7i12j11i11i9h8m6i15j3i6l12i8h7k8j7,1
i10h9j9h11k10j10m6i8m8m7n13n7k9k8h8g10f11l9j7o12l7k6o4o10j6j4j8j5i7l10,1
i10h9j9h11k10j10g6m12k9m9l7k8h6k12i8h7i7i9,1
i10h9j9h11k10j10m6i8m9m7k8l7k9k7,1
i10h9j9h11k10j10l9i8l11h13i12l8f11m8m6m9o14m12o11i11h12j12k11k8j8n11f12k13l14k6j7k7k9,-1
i10h9j9h11k10j10n13i8k9l9m6k8h8j7k6,-1
i10h9j9h11k10j10g6m12l9n7l11i12l12l10m6h7k9m9k8l7,1
i10h9j9h11k10j10g6m12k9m9l7k8h6k12i8h7i7i9,1
i10h9j9h11k10j10g6m12m6i8m8m7n7l9o6p9n6p6n8n9k8l7,1
i10h9j9h11k10j10g6m12l11l12k11m11k12k13n10i8n9m10m13n11n7k6j7l13k14j13n8n6m9k9,1
i10h9j9h11k10j10g6m12l9m8m9k9h12p9k8i12n11m10h5e8i6j7g10j6h7i8j5k4g8f9g5g7,1
i10h9j9h11k10j10m6i8n13l5i12j11k13l7i11i13h10j12f8g9m13l13m12l11l10m14k12k11l12j14j13f10n10n12m11o9m10,1
i10h9j9h11k10j10g6m12k9m9l7k8k13m8h6i6d6k11h8n8l8,-1
i10h9j9h11k10j10l9l11o6i8h13n7l7m6j7l6k7i7k9m9,1
i10h9j9h11k10j10m6i8k9k8h8k11i7g9f9m9l10j8m11g10f11f10k5j6l8j7k6h5i6l9g8h7n6n11m10n12l6o6m7o5,1
i10h9j9h11k10j10l9n7l7i12k8m6k9m9,1
i10h9j9h11k10j10n13i12i8h7k13m13m6m12n7k4l7k8m7k7m8m9,1
i10h9j9h11k10j10g6m12k9m9k6h7j6i6j7m6j5j8j3j4i4l7,1
i10h9j9h11k10j10m6m12l7k8l6o6k6j6m8j5l9j11,1
i10h9j9h11k10j10n13h7m6m12k13m13i11i8l7k8h8l12k11k12j12h10i13h14,1
i10h9j9h11k10j10n13i8k8m6m8l9k7k9h12m9k4n8o9o7p6l10k11l8l11m12m7n11j7l7l6m5k5k6i6h7k12h5k14k13j8j13h10i9m11j5i11j11i13i12j14k15h14i14g15j12g13g16e15f14f16e17f15d15i15h15,0
i10h9j9h11k10j10l9i8i12j11i11i13n7l5n13j12l7m9k8m6k7k9,1
i10h9j9h11k10j10g6m12l9n7i12j11i11i9h8m6i6h10i8h7k8j7,1
i10h9j9h11k10j10g6l11l9n7i12j11i11i9h8i14i6l12k8j7,1
i10h9j9h11k10j10g6m12k9m9k7k8n7m8k13k12j8m5i8h7i9i7,1
i10h9j9h11k10j10m6h7n13m12m8l9k13m13o8m7k12k11l12n8l6n7l7k8k6n6,1
i10h9j9h11k10j10n13m12g6m13l9i12m9k9h12l12k11h7m11k14j13n11l13p9n8l10p6n6o6o7n7m8q4m14k8i6q6q9p8s9p5r3p3s6p4,1
i10h9j9h11k10j10g6m12l9i12m9k9h12p9m6m8l8l7o10k7p6l12o11o8p12n10o13o12q11r10p11r11q10q12p13p14h7i8g10n14m13n13n12l14o14o7m7q9p8r9o9,-1
i10h9j9h11k10j10g6m12k9m9k11k8h6i6k13k12h5h7i7j8h8e8f9h10l8e11g11g9j12m15g5h14g8e5g7g4i5f8,1
i10h9j9h11k10j10g6m12k9m9k6h7j6m6k11k12k7k8l6m5h10h4h6i6,1
i10h9j9h11k10j10l9h7i12j11h8m12n7i11k11k9l8l12l5l7m8o6o8n8,1
i10h9j9h11k10j10m6m12l11i8k11k8h8n11k14k13l10l12n10i11j12i13f11n8l8k6j7m9h12j13h13g12h16o10l13h15i16g16i14i15l7l9m10o9p9o12n12,-1
i10h9j9h11k10j10g6m12i12i8h13j11k9m9k6m6i13i11k11k12f11g13j13l13k14g12h14j12h10k7f10f13e10g10g11h12f14l15l12g14e9e8f8f9d7e13d8c7d10g7,1
