game,winner
i10h9j9h11k10j10g6m12l9n7k9m9l11i12k11k12h12m6k8k7n11m10,1
i10h9j9h11k10j10g6m12k9m9k11k8m11n12k13k12l12n10n11l11o11o8o15j14o12o13l9m8i12i11h13j11l8m10n9,-1
i10h9j9h11k10j10g6m12k9m9l7k8h6i6l11k11h8h5j7i7l10l8i8h7n12m11m10o10f8g8j5g7j6j8k6m8n8i4j13k12l12l13n11j4m4l5p13o12o11n13m14n9d6q9e7c5e6f6l14m13j14k14k13h10j12j15,0
i10h9j9h11k10j10l9l11o6i8h13k9i11i12g10g12h10n7e7e10l14m6e13g13f12g11f8g9f9j12e8d8d7c6f7f10,1
i10h9j9h11k10j10n13i8l7l5m8j5m6k8h8k5k6,-1
i10h9j9h11k10j10l9h7l7i12k8m6k9m9,1
i10h9j9h11k10j10l9i8l7h13k8m6k9k7,1
i10h9j9h11k10j10g6l11l9i12h7i8g10k11i11m9l12m8m11n10l8l7g7g9k13e7f7i4i15j14h5g4h4h6c10i7d3d9f10d10f9f8d6d7i6g8h8j12l10f12e5f5,1
i10h9j9h11k10j10l9i8l7m8k8m6k9k7,1
i10h9j9h11k10j10m6i8n13l5k9k8h8m9i12h13m12l11o14i13j12h12h10l12j7j8g9i11k11g13f14,-1
i10h9j9h11k10j10g6l11i12i8k9l9i13i11f11k12k11j12h10k6j7k7i14f14e10g13h12f10k15j14e12g12d9e11j8i7c14d13n12i15l12j6i6k5l4,-1
i10h9j9h11k10j10g6m12k9m9m6k8h6h7i7j8h8j6l8f6n6p6o5m7f10e11k12k6p4k11g5f4j11m14m13g4l9m8l7l10n8i12l5l6n7n5,1
i10h9j9h11k10j10l9h7m9k9h12m12i12j11i13i11k11j12h10f10g11k7f12e13j8i9l7e12k8m6l8l6,1
i10h9j9h11k10j10l9h7l7l11k8m6k9k7,1
i10h9j9h11k10j10g6l11i12k11h8i11j11l9l12l7l8g14f6k12c6e6e5g7j6i7d4i5i8h7f7f8h6i6j7j8i4h5j5f3h12g2m4j12l5k6c10e8e12k13l14c3f12g12k5m9l10n9m10,-1
i10h9j9h11k10j10g6m12l9n7m9k9h12i12p9m6l8l7k7n10o9n9n8o7m8k8p10m7p7p8h7i8g10k11d3m13l12q9r10i5p13l11m11g7q11r12p12p11,1
i10h9j9h11k10j10g6l11l9h13i12h7h10i14m8j11f11e10p5f9g8g7m9k9i11i9h8f8f7e9g9,-1
i10h9j9h11k10j10m6m12l9i8m8j11m9m7,1
i10h9j9h11k10j10g6m12l9m8l7i12k8m6k9m9,1
i10h9j9h11k10j10g6m12i12i8h13j11i14j15e10i11k11f11g11,-1
i10h9j9h11k10j10g6l11i12h7h13j11h8i14f15i7f6i6m6g14l7k8j7g7o4j5k4l5i5n5i11i9c6e6f7e8f9f8e9k7j8m5k5d8c8c9k3k2h5m4l3j3j4l2h2i3h4i4,1
i10h9j9h11k10j10n13m12k9i8m6k8h8l5i7g9f9k5h6j8e3m9j7m7l8g7m5k12m4h5n4k7h10k4k6g5n6l6j4o7n8m3l4o4e10g6g8h7f5k3j3j5i5g10e8n7l7o6o5p5m8m2n3o10d8f8,0
i10h9j9h11k10j10g6m12k9k6m9l9m6k8j7m8l8o6h7i8k7n10,1
i10h9j9h11k10j10l9l11i12j11i11i13m9k9g6i8o6j12j14n6k11k13o7o5p6n8n7m8l8l7k6o9p7q7j6k7i6h6i7n5p8p9j7k8p4p5q5h8m5j8g8h10,-1
i10h9j9h11k10j10g6m12k9m9l7k8h6h7k12i6i4h5j7g4k11k13k7m7j5j8,1
i10h9j9h11k10j10l9i8l7m8k8m6k9k7,1
i10h9j9h11k10j10g6m12l9n7i12j11i11i13,1
i10h9j9h11k10j10g6m12k9m9l7k8h6i6k12h7n7k11h8m7m8l9j7j5g8j8g7g5f8i5,1
i10h9j9h11k10j10g6m12l9n7m9k9h12i12p9m6l8l6o9n9n6m7m5l11o7p8h7i8g10o8m10n11n8p6i6j6o11n10j7k8g8f9,1
i10h9j9h11k10j10g6m12k9k6m6k8i8h7k13i11h8f8j3l5n9h5i7k5j5j4h2m4k4,-1
i10h9j9h11k10j10g6m12k9k6m6k8i8h7k11i7k14l9j7j5l10m11h14k13o10i13h10j14l12g11h12j13l13m9m10n10k7l7m8l11l15l16g10e10h13f11i11h15j12f8i12,1
i10h9j9h11k10j10n13i8l7l8f11k7k6i4m6k8j8n6j6i6n5l9j7j5k9k11h8i7i5f9h4l11h7l12l10,-1
i10h9j9h11k10j10l9m8m9k9h12i11h13h7p9i12l7i13l8l10k11k14j13l5m6k8h15i7h6g7f7k7j7f9g10m12p12g9e9k5k6h8,-1
i10h9j9h11k10j10g6m12l9n7i12j11i11i9h8m6i6l12i8h7k8j8,1
i10h9j9h11k10j10g6m12k9m9l7k8n7o7m8l9q4o6p11h7k13k6j7k7h6j8h8o10o9n10l8l10n8n6l6m7m10p10p8o8k12k11l12l4j13l11n11h13j6o11f6i6k4h12h10i13j12g9j14j15,1
i10h9j9h11k10j10n13i12g6m12j6h6m6h7h8h5j8k8f9i7j7j5i5k4i6l8k7l6m7m4h10g11n7l7l5m8k6p9e10d11p7f10i3i4h4g3e7g5n5n4e11e3f4o8n8l4,-1
i10h9j9h11k10j10m6m12l7k8l6n6l10l4k6h7l9l8m8j11,1
i10h9j9h11k10j10g6m12l9n7i12j11i11i9h8m6i15l12i6i8g4j6j7h5e6g5f5d7m10k8f6h6f4f7e4h4,1
i10h9j9h11k10j10g6m12l11i8i11i13l9l12k11j11k9k8,1
i10h9j9h11k10j10g6m12k9k6m6k8i8h7n9i11h8g8i6i7k13h6n6n8q6p6k12k11j11l9g14l13n11m8l8i12k16o5n13l15n12n10k15k14j13m11m9m13m14,-1
i10h9j9h11k10j10g6m12l9i8o6m9h13n7k8m6h5j3i6j7g10,-1
i10h9j9h11k10j10g6i12n13m12k9k6k13m13l9m9l7k8h7i8j7n7i7k7l10l8,1
i10h9j9h11k10j10g6m12l9i12k9m9l7k8l8l6o5n6o6n7l10l11i7i8,1
i10h9j9h11k10j10g6m12l9n7k9m9i12j11h8k7l7k12i8h7k8m6,1
i10h9j9h11k10j10g6m12k9m9k7k8h6i6h7i8i7j7,1
i10h9j9h11k10j10n13i8m6l11i12h13k9k8h8k12j7l9i7g9l10j8n12n15o13m11m8n10m10k7h10g10f11m13l12m9l8k5g7f9e9h7i13i11o8p9n6p8o9o6o12m14l13o10m12p12o11o14p11q10o5m7l6p7p10q8,0
i10h9j9h11k10j10l7m12k7k8i7j7i8i9,1
i10h9j9h11k10j10g6m12l9n7i12j11i11i13,1
i10h9j9h11k10j10n13i8m6l11m9l5k8l7k9k7,1
i10h9j9h11k10j10g6m12l9i8m9k9h12m8l7i12g10g8f10g11l8l10j8l5m6k8e10h10p9j5h7k5k6,-1
i10h9j9h11k10j10g6m12k9m9l11i8h6i6f6k11h8e6i7j8g7e5g9j6,1
i10h9j9h11k10j10g6m12k9m9k6m6h6k11h8h7j6i6i7k5,1
i10h9j9h11k10j10g6m12i12i8h13j11k9m9i13i11g11k11l11h8i9,-1
i10h9j9h11k10j10g6m12k9k8n9l9g5g7h8h5h6i6j7g4l11f4e6m10i7j8d6f6f3k7l4k5j6e4d4g9k11m11m9k13o12j12h10l12j14,-1
i10h9j9h11k10j10l7m12k7k8i7j7i8i9,1
i10h9j9h11k10j10l7l11m6k8g6l9l6l5n5n6m5m4j7k7n4m8j6p5i6k6k5j4i7h8,1
