game,winner
i10h9j9h11k10j10g6m12k9m9k7k8h6i6h7i8i7j8,1
i10h9j9h11k10j10l9i8l7m8k8m6k9k7,1
i10h9j9h11k10j10l9l11o6h7h13n7l6m6l3n5k9m9k13i12l4l5o8o4l7k11h8n8l10l8n6o7m5j8k7n4o10i11j11i13k8k6j7m10j13m7m8i6k4n9p6m13l12n11n10,-1
i10h9j9h11k10j10n13h7k9m12k13m13i9i12k8k7i6l9j7l7k12k11k14i11j11n14l12k15m14l13i15j14h12l15l14h6h8i8m15n16e5g7i5g4o9i4f7g5g6f4i7,-1
i10h9j9h11k10j10l9i8l7m8k8m6k9k7,1
i10h9j9h11k10j10g6m12l9n7k9m9i12j11h8i8m6k8l6o6i13i11g11h12k13l8k11k12h14j12j13h13h10l13j8i9j6i7k6,1
i10h9j9h11k10j10m6m12l7k8k6i4g6o10l6n6l5l8,1
i10h9j9h11k10j10g6m12k9m9k7k8k13i8h8h13j7l7j6j5i7g9h6j8,1
i10h9j9h11k10j10l9i8l11h13i12l12m8j11h12m12i13i11g11j14j12g12f11e9k11l10k9k12,1
i10h9j9h11k10j10g6m12i12i8h13j11k9m9i13i11g11g13k11k8h8h14k12k13h12f10,1
i10h9j9h11k10j10g6m12k9k6m6k8i8h7k11i7k14g7f7e8h5i4f5f8h8l9j7j5h3k4i6g4h4h2g5e5f6i3,1
i10h9j9h11k10j10g6m12m6i12l11e8o8l12j3i8g10p9g9g12h10e7f10e10e9d8d12e11f11f8c8h8g8g7i9f12c9h12,-1
i10h9j9h11k10j10n13i8l7l8f11m7k9k8j8m9j7i7j6j5m8n9n12n11m12l11o11l12m10m13k11k13n7l9l10m11n10o10o6i13j14n14o14j13l13k14i12q12q13h10h12p12p9p15h7f12o15p14p11q10o13o12p10o16s12q14,0
i10h9j9h11k10j10g6m12i12i8l9j11i11i13o6j12j14m9k11k14m6k8h8p6m4p7n7m8n8n9m10k6j7,-1
