game,winner
i10h9j9h11k10j10g6m12l9i8l7l8k8m6k9m9,1
i10h9j9h11k10j10g6i12n13m12k9k6h7i8j7k7k13m9f5k11l12i15l13m13l10l11m11j8,1
i10h9j9h11k10j10n13i8l9h13l7l8k8m6k9k11,1
i10h9j9h11k10j10g6m12k9m9l7k8h6i6d6h7i4f7g7g4f8e9g9g8,1
i10h9j9h11k10j10m6m12l7k8l6o6k6j6m8n9l9j11,1
i10h9j9h11k10j10g6l11l9n7m6i8k9m9k8l7,1
i10h9j9h11k10j10g6i12n13m12l7k8m8o10m7n7m6m5i4n5j5k6k5h5j7j4i7k7n4i8h8j6g7h7l6o9m9m10l9l8,1
i10h9j9h11k10j10g6m12k9h7i9m9k6i11k13k7h6i6i7j8g8g9h10m6e3g11f11f10h3m11g5f4g3f3k11k12g4,1
i10h9j9h11k10j10g6m12k9h7i9m9i6h6h8i11k8k7,1
i10h9j9h11k10j10l9h13i12i8l7l8k8m6k9m9,1
i10h9j9h11k10j10g6m12k9k6m6k8i8h7k13l9h6i7j7j6h8e8d6k12e6f6f8i5g8j8e7c5g9h10,1
i10h9j9h11k10j10m6m12g6l7l9m8h13i12k13k9k16l12k15i8g10k14h10m13k11l15j13i13l13f10h12m16j12i11j15j14,1
i10h9j9h11k10j10g6l11l9n7m9k9h12i12j6m6p9m7l8k7l7l6m5n6o6n8n5,-1
i10h9j9h11k10j10n13i12m6l15i8h7i7i9h8k8f10g9f9f8k5i5n5j6h10f11l8l11m5l5e10g10g11d8m4m7d11c12l3k2e9h12j13p7e8e11f12e7d9m2c10f7b9c9,1
i10h9j9h11k10j10g6m12m6i12l7k8l6l5l11l8i8h7n5i11h12m7k9m9k6j6k7j5n6o6n4n3,1
i10h9j9h11k10j10g6m12k9m9l7k8h6j6i8h7i7i9,1
i10h9j9h11k10j10g6l11j6l9k7m9m6k8n9h6l6k6j7j8h8l8l10,-1
i10h9j9h11k10j10g6m12k9m9k11k12h6i8m6k8h8j6j7e6g7i7e9f8g4g5i5e5h5f7j4k3,1
i10h9j9h11k10j10n13h7m6l7k13m13n7m12m8l9o6p9m7m9l6n6o9n8k11k12o7o8m4m5p7q7,1
i10h9j9h11k10j10m6m12l11i8k11k8h8n11o8l5k14k6j7i11o6n9l8n6l10l9m10k13h12o7j13l14j12i13k12i14,1
i10h9j9h11k10j10g6m12k9m9l7k8k13m8m11l12h6i8h8i6j7l8j8i7i5j5n8j4n12l10g7e9g3g4h4f2h5h7g8g9f9k12h2h3e5f4,1
i10h9j9h11k10j10g6m12k9k6l9m9i12j11h8k7k8i8j7m10m11l7n12l10k11k12n9n7i13i11g4j12i15g9h10j6l8n10m7n6h5i6l6n8g5g3i5j5i4f7e5f5g7g8,1
i10h9j9h11k10j10g6m12l9n7i12j11i11i9h8m6i15g9e8g8k9n9k8k11i14i13m10j7g10f7l10k7f9m11h7i8l5o10l7l8n10n11l11,-1
i10h9j9h11k10j10g6l11l9h13m9k9h12n9i12i11m8j11k11j12j13n7k13m6o8m11n8p8o7l10j8l13k14k12n12o9n10l8m7l14l12l6h7i8f11k6j6,-1
i10h9j9h11k10j10g6m12i12i8h13j11k9k11i11i13h8m9l12m6f6i6k6f11g10j14j12g7k7k8h12k12g12f12g9g11,1
i10h9j9h11k10j10g6m12l9n7i12j11i11i13,1
i10h9j9h11k10j10g6m12k9m9l7k8h6i6i7j8h8g9k12k11f6d6h7i8g7j7,1
i10h9j9h11k10j10g6m12i12i8h13j11k9m9i13i11g11g13k11k8h8h14k12k13h12j12,1
i10h9j9h11k10j10l9l11i12j11i11i9h8i14n7n9l7m8k8m6k7m7,1
i10h9j9h11k10j10g6m12k9k8n9l9h6h5i8h7i7i9,1
i10h9j9h11k10j10m6m12l7k8l6n6k6h7m8n9l9j11,1
i10h9j9h11k10j10l9l11i12j11i11i13m9k9o6n6n7m8i8i9h8g9g6h7e8f7l7k8l8l6k7n10,1
i10h9j9h11k10j10l9l11o6h7h13i12m6n6m8n7m9k9,1
i10h9j9h11k10j10g6m12k9m9k6m6h6i8j8i7k7k8h10i9d6m11i6j6h8m10,-1
i10h9j9h11k10j10g6m12l9n7k9m9i12j11h8k12i8h7k8j8,1
i10h9j9h11k10j10g6m12l9n7k9m9i12j11h8m6i8h7k8k11,1
i10h9j9h11k10j10g6m12k9h7l7k8h6m9d6k11h8j6l12e6n8i7k7j7m10k6i8i11j11f8i6h13h10g10f7d9k12m14l9m8l11n9,1
i10h9j9h11k10j10l9n7i12j11i11i13i8i9,1
i10h9j9h11k10j10m6i8m8m7n13j11o6n6o8n7l7k8h8o7n5n8p7q8n9l11,1
i10h9j9h11k10j10l9l11i12j11i11i13o6h7l7i7k8m6k9k7,1
i10h9j9h11k10j10k8m12k9k7l9m9i12j11l7m6i8h7l8j8,1
i10h9j9h11k10j10g6m12l9n7i12j11i11i13,1
i10h9j9h11k10j10g6m12m6l7n7o8m8l9o6n6m7m9o7m5o4p5p7q7h7i8d3q8p8o5n5p9p3q2r10l5l6k5i6g8f6l3h6,1
i10h9j9h11k10j10m6m12l7k8l6n6k6l4m8n9l9j11,1
i10h9j9h11k10j10g6m12k9k6m6k8i8h7k13i11h8f8j3l5n9h5n6l9k12k11j11i6j7l13h13j5k4i12k14f9g8,-1
i10h9j9h11k10j10g6m12k9k6m6k8i8h7k13i11h8e8n9f8f11k12l12f14n10m11n7l9,1
i10h9j9h11k10j10m6i8k9k8h8m9m8k11m7m4n6p4n7l9j7k7l12k4n8n9o8p9o9p8,1
i10h9j9h11k10j10g6m12k9m9l7k8h6k12i8h7i7j8,1
i10h9j9h11k10j10g6m12k9m9l7k8h6h7k12i6i4h5j7g4k11k13k7m7j5j8,1
i10h9j9h11k10j10g6m12k9m9k7k8n7m8m7l7l8n6o7k12n9m6j6o4n5i8k6i5l6n4k5n8p7q7o8m10m11j8o6o9,1
i10h9j9h11k10j10m6i8m8l9n13m9m7m4l7k8h8j7k6,-1
i10h9j9h11k10j10g6m12k9m9l7k8h6k12i8h7i7j8,1
i10h9j9h11k10j10n13l11g6i8k13m13n10n12k7l12k11k12m12l14k15,-1
i10h9j9h11k10j10g6m12l9n7k9m9i12j11h8k11i11i9k6k7i15h7l6m6m7i13l12n8l10l11m11n12n10k13o10m10j13o8p9,-1
i10h9j9h11k10j10m6m12l7k8l6n6l5l4l9l8n7m8,1
i10h9j9h11k10j10l9l11o6i8i12j11i11i13l6m6k7k9l7l8m7j7,1
